,PortfolioValue_min,PortfolioValue_max,PortfolioValue_mean,PortfolioValue_std,PortfolioValue_end,PortfolioValue_1st,PortfolioValue_median,PortfolioValue_3rd,CumulativeProfit_min,CumulativeProfit_max,CumulativeProfit_mean,CumulativeProfit_std,CumulativeProfit_end,CumulativeProfit_1st,CumulativeProfit_median,CumulativeProfit_3rd
0,9342.163359375025,39841.63671875004,19312.3730418347,8198.879724702665,10821.258281250022,12078.169375000025,17288.41005859377,24539.684765625032,-2872.857890625,0.0,-1284.7096397388786,765.4880838264097,-2872.857890625,-2141.7595703125,-1163.6918359374993,-673.6002148437499
1,9500.302910156257,51980.02314453128,21304.454960409097,9764.038053398852,13623.532441406314,13665.317753906267,19299.851757812503,26380.35373046877,-3831.8339648437495,0.0,-1236.8589056606072,836.417420634418,-3831.8339648437495,-2021.86431640625,-978.0134960937496,-558.2103515625
2,9477.442871093748,50616.40724609376,20958.93591739969,9703.108285158769,13301.113183593785,13332.012050781248,18386.981425781247,25801.810917968753,-3196.18431640625,0.0,-974.2722423541555,707.3595998594564,-3196.18431640625,-1734.7067773437498,-801.6883789062498,-336.1338085937499
3,10000.0,52830.02394531254,21864.262790977024,9925.791336258688,13975.158125000064,14047.439570312512,18944.378632812502,26215.04675781252,-2733.2969531250005,0.0,-680.4228058947385,562.9458323675088,-2733.2969531250005,-1117.4706640625,-537.5442187500003,-251.22433593749992
4,8896.57972656251,47606.07789062499,20809.791580832145,9597.299099665766,11845.422148437501,12530.200742187513,18943.55931640625,27680.12648437501,-3893.2833984375,0.0,-1307.6347794045914,838.7711656371225,-3893.2833984375,-2038.3873437499997,-1046.0740624999994,-827.6955468750002
5,9340.95623046876,47891.676425781276,22303.182609972537,10229.468345025736,13137.264707031285,13263.45392578126,20363.108222656265,28987.144902343767,-2481.026660156249,0.0,-925.8766650949525,615.2107737193573,-2481.026660156249,-1326.3503710937493,-651.1055273437493,-563.4605859374999
6,9950.357304687512,49355.29523437501,21522.617328141278,9995.180654349506,15772.199921875002,13370.083867187515,18723.079609375014,26505.964570312528,-2524.8053515624997,0.0,-849.3494031282515,638.554918389974,-2524.8053515624997,-1248.4280468749998,-609.5194335937503,-409.42880859375003
7,10000.0,48108.36640625003,20784.47740878644,8832.163809011776,13481.930820312537,13747.01769531252,18948.44050781254,26378.12433593752,-2658.541796875,92.84800781250006,-665.193084555476,615.7550449407789,-2658.541796875,-1196.2104296875002,-397.11660156249997,-145.59291015625
8,8499.845898437523,36206.81343750004,16103.150362354505,6830.203452975226,11798.94683593752,10699.92835937503,13622.520000000028,20521.579882812533,-2079.888164062501,0.0,-1132.3218595944977,646.1581009987835,-806.398984375,-1868.7498828125,-998.8413281250005,-742.2130859374998
9,8001.324589843779,38885.24060546879,17909.02355671992,7769.953737781105,8001.324589843779,10789.713496093782,16565.77931640625,23304.041230468792,-2474.776738281249,0.0,-989.4969178630658,676.333046994435,-2474.776738281249,-1648.8498632812496,-1004.1391992187499,-289.8002734375001
10,9294.291484375002,34357.7808984375,15779.545175456069,6448.830329528837,11356.659257812498,10373.676445312498,13772.8650390625,19590.290742187502,-1552.8390234375001,0.0,-707.1152965254294,478.75699953712575,-237.5018359375001,-1116.2532421875,-573.8647656250001,-382.45935546874995
11,8959.773027343745,36326.14021484376,18734.28048391161,6718.302071838728,13036.306542968752,13492.377792968753,17614.866621093763,23213.980449218743,-2148.78712890625,41.1306445312501,-771.4479153794873,626.3934611230469,-2080.4134570312503,-1476.0168554687498,-465.1060156249999,-358.5108984375
12,9228.006015625017,39546.180859375025,16387.471818072823,7482.79885348799,12812.133085937512,10532.376523437519,12940.945390625016,21505.064589843754,-2155.6151171875003,0.0,-927.4450946686393,582.3968854370759,-246.65523437499982,-1168.5157031249996,-805.1751171874997,-562.7337890624998
13,9352.440410156278,44867.54064453128,20621.1294766804,8761.938531292113,16350.085175781283,13793.574824218767,18843.026152343762,24564.016777343764,-2774.262832031249,0.0,-1009.820348188736,676.8717152400735,-2681.998652343749,-1648.2743554687506,-884.5153320312505,-494.90289062500005
14,9663.15494140625,51644.954785156246,20709.842014096645,9700.993569774659,16455.788730468772,13098.171894531246,18399.28037109375,25074.792792968758,-2080.48349609375,0.0,-633.236504231432,508.8524123844179,-2080.48349609375,-929.0566992187502,-529.4571875000001,-241.48208984375003
15,10000.0,43805.611503906286,20727.800875004075,8144.951025550706,14102.168886718788,13816.087871093758,19418.715390625,26029.643339843766,-2002.5892382812513,45.377558593749804,-453.6516423728538,477.97311549466156,-2002.5892382812513,-791.3961914062502,-236.2875976562502,-74.36693359375002
16,9332.739882812542,37567.88738281254,16470.131386881374,7154.3828920727265,12404.12371093754,10037.645351562542,14336.150390625002,21410.611406250013,-1959.0777343749999,0.0,-782.7747167867128,555.4587066456379,-182.83898437499988,-1047.1973046874996,-734.51109375,-372.8526562499998
17,9508.308808593767,42581.31712890629,20526.166056557315,8836.814086440561,15051.124707031271,12784.511816406268,18560.07650390625,26622.23404296877,-2132.1143164062496,0.0,-813.8872089620186,599.5994681176626,-2132.1143164062496,-1376.3977929687499,-632.58556640625,-397.8270117187498
18,9920.96136718749,48613.777890625,21600.31138074353,9473.254525454342,17522.101367187504,13580.898359374998,19837.755546874996,28382.704609374996,-3140.8680859375,0.0,-945.5181525185354,760.6552535733415,-3140.8680859375,-1767.4591796874995,-565.3477734375,-279.07369140625
19,9093.221347656263,52087.10810546878,20600.994081502846,10159.442918874027,15184.617480468816,12938.673925781268,18036.85861328126,25232.724355468763,-2778.474863281249,0.0,-851.4827554915124,587.3401140111885,-2778.474863281249,-1216.8952539062498,-694.7038281250001,-506.3565624999998
20,8986.338066406286,42158.322050781295,17104.162328649385,8246.997039496617,12027.868496093784,10631.049277343749,14373.95560546877,20744.806621093783,-2576.358886718749,0.0,-1285.0769160948878,848.8199099339192,-1564.10427734375,-1924.0702929687504,-1453.7425976562492,-292.94470703125006
21,9608.34144531251,39226.179843750026,16790.54370292991,7354.760178456958,13239.939531250027,11066.071406250026,14025.34083984375,20407.857226562515,-1622.1233593749998,0.0,-760.2728839994146,512.1564484701213,-453.13609374999993,-1254.5448046874997,-619.663125,-265.17587890625003
22,10040.168359375006,49599.14546875002,21632.594020653145,10134.319099407676,12190.941992187549,12872.57589843751,19041.550488281257,27044.920273437518,-3372.7226562499995,0.0,-1169.1331532298714,718.1091092917178,-3372.7226562499995,-1900.6115625000002,-1022.5945703125,-551.7239843750001
23,9161.065058593756,45377.71990234377,19938.677557963718,8836.409900265955,11031.947167968785,12527.731171874999,18566.16177734376,23969.0879296875,-3091.797832031251,0.0,-1230.2147734293706,704.6661912860965,-3091.797832031251,-1802.369003906251,-1371.20888671875,-638.4700390625
24,8310.203769531276,38873.504667968795,15901.24437508132,7298.434076176776,13516.983652343772,10372.494667968784,13757.790468750001,21004.484707031283,-1982.5734960937496,0.0,-1082.7690260592806,600.6589832452125,-574.0327929687497,-1630.0431445312506,-1079.25861328125,-553.9723437499999
25,9796.10630859375,52916.20123046877,21789.05275721905,10152.201143891432,14146.955527343802,13618.065878906258,19556.9549414063,27992.68248046875,-3486.2061914062515,0.0,-967.5921804882612,720.683615382387,-3486.2061914062515,-1647.4500195312503,-594.0493945312503,-487.4674023437502
26,8776.70050781254,35813.01980468753,16081.523296879095,6948.512248204869,12224.86570312504,10139.765273437522,13762.72210937503,21772.64964843751,-1771.6767968749998,0.0,-953.2244122536742,617.4423303728212,-882.8080859374998,-1636.853046874999,-879.0412890624998,-447.5357031249998
27,9564.505039062487,53084.56738281251,21693.67349564662,10550.785116752753,10215.943632812568,13536.250351562509,18572.22027343748,27397.21761718751,-4634.171874999999,0.0,-1275.1567776892562,919.1208867974807,-4634.171874999999,-1974.3196093749998,-1118.7086328124997,-514.929609375
28,9417.284902343767,45598.617597656266,21613.56393232555,9313.126357407127,10888.173261718775,13793.750253906259,19879.355253906262,27935.752519531256,-3800.593535156252,0.0,-1292.1989063922676,825.0191957420133,-3800.593535156252,-2204.18119140625,-1075.9492773437507,-705.4729296875001
29,8818.844062500026,42883.49820312503,18717.819535802573,8459.234496763753,9053.629179687523,11482.80761718753,15896.825898437517,23651.21007812503,-3178.3820312499984,0.0,-1278.2575003455056,832.3160452239168,-3042.4588671874985,-2079.5963671874993,-1288.9698046874992,-434.7970703124999
30,8286.207871093759,48812.56232421878,21119.614484687998,9585.081776646904,12109.595644531288,13411.460097656261,19191.429355468787,28331.507441406255,-2622.1242773437502,209.39595703125025,-716.6651133056383,680.3507292688004,-2622.1242773437502,-1191.5236523437495,-636.3783789062501,-49.75578125
31,8977.542246093764,41637.45123046877,19523.954606976793,8491.179730131376,8977.542246093764,12015.300136718766,16693.252988281256,25489.160957031265,-2548.2332617187494,0.0,-853.6529858423843,695.0389692806622,-2478.2111523437493,-1581.8933398437503,-546.66763671875,-177.35599609375
32,9685.753437500014,48172.59226562503,20427.11184780666,9417.435684021,13010.78125000004,12614.386914062514,18237.673710937517,25245.599882812505,-3034.699648437501,0.0,-1023.188691446898,694.3750461381424,-3034.699648437501,-1750.2576562499999,-897.6150390625006,-367.3798828125
33,9447.194824218766,50975.694472656294,21281.31377829086,10064.278817309705,14734.639628906312,13139.856582031254,18772.11009765626,27027.662753906265,-2874.9180273437505,0.0,-821.8468659965206,617.5408953725869,-2874.9180273437505,-1351.0881835937498,-500.78072265625013,-392.92843750000014
34,9342.904687500022,37025.22933593752,15695.677947430264,6481.855152996508,10952.238789062521,10339.467734375008,13216.671933593763,19906.2626953125,-1593.9348828124994,0.0,-656.7082915542077,504.21579272953426,-47.26613281250005,-1068.8486718749998,-418.05929687500003,-212.31996093750007
35,9635.8460546875,42664.40562499999,20336.137646291292,8231.384017803814,14073.28421875,13455.376484374996,18944.098632812496,25172.74441406249,-3441.1845703125014,0.0,-1231.9288688743823,839.7775011783702,-3441.1845703125014,-2012.1321484375003,-1217.5905859375002,-585.3355468750001
36,10313.04701171875,46043.783261718774,20692.896176874678,8952.654319596277,16648.843066406258,13458.204179687502,18678.72072265625,25158.849472656257,-1529.18943359375,180.0307617187499,-443.37739978294104,487.0789390336934,-1529.18943359375,-899.9512695312503,-277.0946484375,-55.82851562500004
37,9140.37179687501,45278.841054687524,21402.93604391586,9596.791570857875,14179.967304687527,13378.301210937509,18777.163828125016,28583.608984375012,-3964.4417968750026,0.0,-1332.3938791785904,1006.0183903301976,-3964.4417968750026,-1992.0032421874998,-1070.7359375000008,-401.89121093750003
